Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m)
19.920000000000314,4.47047042677981,694348.7354860504,0.0432,1.3177,0.97,20213.386624851286,4.5,3.1145844713313706,890.009232671312,0,1.3558859554484395,935,0.112,1.33
19.930000000000316,4.462542201440423,693161.5292245111,0.0432,1.3177,0.97,20178.825520406936,4.5,3.108589809151939,890.009232671312,0,1.3539523922884833,935,0.112,1.33
19.940000000000317,4.454627506035106,691978.6108226613,0.0432,1.3177,0.97,20144.389241084697,4.5,3.1026074232304235,890.009232671312,0,1.3520200828046827,935,0.112,1.33
19.95000000000032,4.446726328930543,690796.7095212635,0.0432,1.3177,0.97,20109.982570867538,4.5,3.096637301318345,890.009232671312,0,1.3500890276121984,935,0.112,1.33
19.96000000000032,4.438838648942622,689616.6603452712,0.0432,1.3177,0.97,20075.62981840811,4.5,3.0906794225406253,890.009232671312,0,1.3481592264019964,935,0.112,1.33
19.970000000000322,4.430964447300468,688438.2523045797,0.0432,1.3177,0.97,20041.32484151252,4.5,3.084733768204347,890.009232671312,0,1.346230679096121,935,0.112,1.33
19.980000000000324,4.423103704597188,687261.541007747,0.0432,1.3177,0.97,20007.069259017564,4.5,3.0788003190443103,890.009232671312,0,1.3443033855528779,935,0.112,1.33
19.990000000000325,4.415256401567933,686086.5140343608,0.0432,1.3177,0.97,19972.862709349036,4.5,3.072879055925819,890.009232671312,0,1.342377345642114,935,0.112,1.33
20.000000000000327,4.407422518891648,684913.1762993906,0.0432,1.3177,0.97,19938.70533558803,4.5,3.0669699596656423,890.009232671312,0,1.3404525592260061,935,0.112,1.33
20.01000000000033,4.399602037241951,683741.5282684786,0.0432,1.3177,0.97,19904.59715128999,4.5,3.0610730110779807,890.009232671312,0,1.3385290261639697,935,0.112,1.33
20.02000000000033,4.391794937274541,682571.5715079615,0.0432,1.3177,0.97,19870.538202052994,4.5,3.055188190963116,890.009232671312,0,1.3366067463114248,935,0.112,1.33
20.03000000000033,4.3840011996307116,681403.3072773723,0.0432,1.3177,0.97,19836.528524543675,4.5,3.0493154801105966,890.009232671312,0,1.3346857195201154,935,0.112,1.33
20.040000000000333,4.376220804936789,680236.7368858575,0.0432,1.3177,0.97,19802.568156872974,4.5,3.043454859298743,890.009232671312,0,1.332765945638046,935,0.112,1.33
