Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.48,4,0.1425413673925498720196859640,0.189511687670004,0.189511687670004,0.143238360330704,0.143238360330704,0.656737417103427,0.6683573048280279600701883175,0.4458339343328199600701883175,0.222523370495208,9.573511781499240247234820784,133.87999742121905866359215067,133.87999784203606983199513107,1709328000
11.49,4,0.1425171604398155150580500177,0.189465119953202,0.189465119953202,0.143214035011804,0.143214035011804,0.656420185453141,0.6680375975383831753390573256,0.4456058577117481753390573256,0.222431739826635,9.568932312009836251731984236,133.86180101263009209471572275,133.86180143093270191643337668,1710817000
11.50,4,0.1424930063404495625425977302,0.189418628076792,0.189418628076792,0.143189762804713,0.143189762804713,0.656103276982019,0.6677182179310131253874471045,0.4453779569590151253874471045,0.222340260971998,9.564357536219953305027490974,133.8435797451690714266943313,133.8435801609523750416488282,1712306000
11.51,4,0.1424689121009922449447944243,0.189372222417285,0.189372222417285,0.14316555075023,0.14316555075023,0.65578673914711,0.6673992140711919100004378591,0.4451502802955919100004378591,0.2222489337756,9.559788142613911963685341676,133.82537434547795004416470454,133.82537475874300951163415703,1713795000
11.52,4,0.1424448615515877146854696716,0.189325884506748,0.189325884506748,0.143141382599435,0.143141382599435,0.655470540782472,0.6670805535806379432708988630,0.4449227954988949432708988630,0.222157758081743,9.555223667407018302183491416,133.80719635466384712323016407,133.80719676541342766560897354,1715284000
11.53,4,0.1424208551131512401532609632,0.189279617681304,0.189279617681304,0.143117258775299,0.143117258775299,0.655154723533354,0.6667622782358720896632066044,0.4446955445011460896632066044,0.222066733734726,9.550664709003838181258032073,133.78900763065797931930528251,133.78900803888917693470196038,1716772000
11.54,4,0.1423969035237260079221022882,0.189233429616755,0.189233429616755,0.143093190068373,0.143093190068373,0.654839242479938,0.6664443437619338636873218402,0.4444684831830808636873218402,0.221975860578853,9.546110633212304883300873119,133.77082346249744985266794628,133.77082386820962158943353154,1718262000
11.55,4,0.1423729870847685122015669308,0.189187303224434,0.189187303224434,0.143069156683793,0.143069156683793,0.654524137013904,0.6661267882625029810037769921,0.4442416498040779810037769921,0.221885138458425,9.541561985827395783005083636,133.75267907031195187549652758,133.75267947350963341181539,1719751000
11.56,4,0.1423491341502374340452896536,0.189141263696769,0.189141263696769,0.14304518711416,0.14304518711416,0.654209358945607,0.6658095654226573560191661352,0.4440149982049173560191661352,0.22179456721774,9.537018103436775296934664298,133.73451024255505972267018885,133.73451064323328881910464158,1721239000
11.57,4,0.1423253296421805018472945343,0.189095300765076,0.189095300765076,0.143021266207794,0.143021266207794,0.653894978634242,0.6654927447138918963834273221,0.4437885980127898963834273221,0.221704146701102,9.532479981146305209567570181,133.71635940916575982327092228,133.71635980732579239576491704,1722728000
11.58,4,0.1423015668144374631269676863,0.189049401144878,0.189049401144878,0.14299738718555,0.14299738718555,0.653580903285964,0.6651762326417265119655952883,0.4435623558889145119655952883,0.221613876752812,9.52794627974620440351082476,133.69823567403578747686238256,133.69823606968027093071351587,1724217000
11.59,4,0.1422778440231765816410229180,0.189003569823428,0.189003569823428,0.142973548395556,0.142973548395556,0.653267227902351,0.6648601243242111302827322936,0.4433363671070391302827322936,0.221523757217172,9.523418361702160761371451515,133.68010127319003079502141177,133.68010166631595407303495575,1725706000
11.60,4,0.1422541716518433015103905819,0.188957811675207,0.188957811675207,0.142949760272032,0.142949760272032,0.652953872611096,0.6645443404236316988743842414,0.4431105524851516988743842414,0.22143378793848,9.51889509058518683971345112,133.66197187310043912881904354,133.6619722637071261254632804,1727195000
11.61,4,0.1422305613725398081398707352,0.188912144304609,0.188912144304609,0.142926034544152,0.142926034544152,0.652640921022126,0.6642289655742651511275656278,0.4428849968132231511275656278,0.221343968761042,9.514377678691941065100824252,133.64388187506356114905435014,133.64388226315538754963864239,1728684000
11.62,4,0.1422069805170746066329854351,0.188866527653711,0.188866527653711,0.142902338383986,0.142902338383986,0.652328270888142,0.6639138949835831349915389547,0.4426595954544281349915389547,0.221254299529155,9.509864624980136375968503187,133.62576911519707366934518504,133.62576950076921514955506975,1730173000
11.63,4,0.1421834596892790144066268970,0.18882099520915,0.18882099520915,0.14287870254501,0.14287870254501,0.6520159602212,0.6635991689069552990237343088,0.4424343888198342990237343088,0.221164780087121,9.505356506065380845138625403,133.60768486461096708599644686,133.60768524766618755595034666,1731662000
11.64,4,0.1421599800195789821666800551,0.18877553732478,0.18877553732478,0.142855108065383,0.142855108065383,0.651704122904116,0.6632849202281849714344682674,0.4422095099489409714344682674,0.221075410279244,9.500855225367975325003100374,133.58960675299682308982702116,133.58960713353447037662533088,1733151000
11.65,4,0.1421365402469800273733448583,0.188730135946982,0.188730135946982,0.142831553677944,0.142831553677944,0.651392518923607,0.6629709082592936066352052772,0.4419847183094726066352052772,0.220986189949821,9.496357335286652002125928779,133.57151843704949239546675771,133.57151881506659123105450605,1734640000
