Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio
0.01,50.155826646198555,2346989.6214454933,0.0432,1.2544,0.97,77568.43195269495,4.5
0.02,50.128664893545874,2677903.8565659057,0.0432,1.2537,0.97,88630.36701796022,4.5
0.03,50.10128616788223,2699295.5284544453,0.0432,1.2537,0.97,89338.36544962923,4.5
0.04,50.07388980022632,2701034.887611862,0.0432,1.2537,0.97,89395.93287876598,4.5
0.05,50.04649216141407,2701160.224041663,0.0432,1.2537,0.97,89400.08112843026,4.5
0.060000000000000005,50.01909466926027,2701145.7761975657,0.0432,1.2537,0.97,89399.60294930452,4.5
0.07,49.99169752266552,2701111.718465997,0.0432,1.2537,0.97,89398.47574332161,4.5
0.08,49.96430081668617,2701068.2889915295,0.0432,1.2537,0.97,89397.03836152317,4.5
0.09,49.936904633279966,2701016.779184594,0.0432,1.2537,0.97,89395.33354561555,4.5
0.09999999999999999,49.9095090489485,2700957.726974326,0.0432,1.2537,0.97,89393.37909939582,4.5
0.10999999999999999,49.882114135622736,2700891.5829835124,0.0432,1.2537,0.97,89391.18993708983,4.5
0.11999999999999998,49.85471996098423,2700818.766168051,0.0432,1.2537,0.97,89388.77992484701,4.5
0.12999999999999998,49.82732658872514,2700739.6698468477,0.0432,1.2537,0.97,89386.16208031132,4.5
0.13999999999999999,49.79993407878892,2700654.6636121683,0.0432,1.2537,0.97,89383.34863584804,4.5
0.15,49.77254248759589,2700564.0948134,0.0432,1.2537,0.97,89380.35108765171,4.5
0.16,49.74515186825499,2700468.2899222146,0.0432,1.2537,0.97,89377.18024092879,4.5
0.17,49.717762270762634,2700367.5558083677,0.0432,1.2537,0.97,89373.84625212273,4.5
0.18000000000000002,49.690373742189394,2700262.180934153,0.0432,1.2537,0.97,89370.35866844672,4.5
0.19000000000000003,49.662986326855346,2700152.436474149,0.0432,1.2537,0.97,89366.72646494379,4.5
0.20000000000000004,49.6356000664948,2700038.577363802,0.0432,1.2537,0.97,89362.95807919175,4.5
0.21000000000000005,49.60821500041101,2699920.8432830027,0.0432,1.2537,0.97,89359.06144385655,4.5
0.22000000000000006,49.58083116562156,2699799.4595782994,0.0432,1.2537,0.97,89355.04401721463,4.5
0.23000000000000007,49.55344859699501,2699674.63812774,0.0432,1.2537,0.97,89350.9128117766,4.5
0.24000000000000007,49.52606732737922,2699546.578152207,0.0432,1.2537,0.97,89346.67442113985,4.5
0.25000000000000006,49.498687387722036,2699415.4669769793,0.0432,1.2537,0.97,89342.33504519395,4.5
0.26000000000000006,49.471308807184705,2699281.480745924,0.0432,1.2537,0.97,89337.90051375823,4.5
0.2700000000000001,49.443931613248466,2699144.7850930714,0.0432,1.2537,0.97,89333.37630880876,4.5
0.2800000000000001,49.416555831814776,2699005.5357719474,0.0432,1.2537,0.97,89328.76758530736,4.5
0.2900000000000001,49.3891814872995,2698863.879247203,0.0432,1.2537,0.97,89324.07919078274,4.5
0.3000000000000001,49.36180860272153,2698719.953250305,0.0432,1.2537,0.97,89319.31568372209,4.5
0.3100000000000001,49.33443719978604,2698573.887301265,0.0432,1.2537,0.97,89314.48135083873,4.5
0.3200000000000001,49.30706729896281,2698425.803199334,0.0432,1.2537,0.97,89309.58022331265,4.5
0.3300000000000001,49.27969891955987,2698275.815482914,0.0432,1.2537,0.97,89304.616092012,4.5
0.34000000000000014,49.25233207979276,2698124.0318636606,0.0432,1.2537,0.97,89299.59252186076,4.5
0.35000000000000014,49.22496679684962,2697970.5536320317,0.0432,1.2537,0.97,89294.51286526099,4.5
0.36000000000000015,49.19760308695246,2697815.4760411074,0.0432,1.2537,0.97,89289.38027479619,4.5
0.37000000000000016,49.17024096541475,2697658.888665065,0.0432,1.2537,0.97,89284.19771509562,4.5
0.38000000000000017,49.142880446695585,2697500.8757377076,0.0432,1.2537,0.97,89278.96797403866,4.5
0.3900000000000002,49.11552154445065,2697341.5164699033,0.0432,1.2537,0.97,89273.69367326099,4.5
0.4000000000000002,49.0881642715801,2697180.8853489244,0.0432,1.2537,0.97,89268.37727806183,4.5
0.4100000000000002,49.06080864027362,2697019.052418455,0.0432,1.2537,0.97,89263.02110667131,4.5
0.4200000000000002,49.033454662052876,2696856.083543981,0.0432,1.2537,0.97,89257.6273390341,4.5
0.4300000000000002,49.00610234781132,2696692.040660017,0.0432,1.2537,0.97,89252.19802499178,4.5
0.4400000000000002,48.978751707851686,2696526.9820047324,0.0432,1.2537,0.97,89246.73509204836,4.5
0.45000000000000023,48.95140275192131,2696360.962339153,0.0432,1.2537,0.97,89241.24035262504,4.5
0.46000000000000024,48.92405548924522,2696194.033154022,0.0432,1.2537,0.97,89235.71551090681,4.5
0.47000000000000025,48.896709928557414,2696026.2428642856,0.0432,1.2537,0.97,89230.16216927921,4.5
0.48000000000000026,48.86936607813014,2695857.6369918482,0.0432,1.2537,0.97,89224.58183437702,4.5
0.49000000000000027,48.84202394580155,2695688.258337566,0.0432,1.2537,0.97,89218.9759227767,4.5
0.5000000000000002,48.81468353900161,2695518.1471429896,0.0432,1.2537,0.97,89213.34576634962,4.5
0.5100000000000002,48.787344864776536,2695347.3412429,0.0432,1.2537,0.97,89207.69261731044,4.5
0.5200000000000002,48.76000792981174,2695175.876208009,0.0432,1.2537,0.97,89202.01765294012,4.5
0.5300000000000002,48.732672740453495,2695003.7854798883,0.0432,1.2537,0.97,89196.32198005167,4.5
0.5400000000000003,48.705339302729115,2694831.1004976407,0.0432,1.2537,0.97,89190.60663918252,4.5
0.5500000000000003,48.67800762236619,2694657.850817089,0.0432,1.2537,0.97,89184.87260853933,4.5
0.5600000000000003,48.65067770481047,2694484.0642229524,0.0432,1.2537,0.97,89179.12080771073,4.5
0.5700000000000003,48.62334955524279,2694309.7668341147,0.0432,1.2537,0.97,89173.35210115128,4.5
0.5800000000000003,48.596023178594955,2694134.9832030423,0.0432,1.2537,0.97,89167.56730147197,4.5
0.5900000000000003,48.56869857956467,2693959.7364089475,0.0432,1.2537,0.97,89161.76717252363,4.5
0.6000000000000003,48.541375762629606,2693784.048145806,0.0432,1.2537,0.97,89155.95243231,4.5
0.6100000000000003,48.514054732060615,2693607.9388047345,0.0432,1.2537,0.97,89150.12375571424,4.5
0.6200000000000003,48.48673549193414,2693431.427551979,0.0432,1.2537,0.97,89144.28177708005,4.5
0.6300000000000003,48.45941804614392,2693254.532401661,0.0432,1.2537,0.97,89138.4270926193,4.5
0.6400000000000003,48.432102398411956,2693077.27028468,0.0432,1.2537,0.97,89132.56026269266,4.5
0.6500000000000004,48.404788552298854,2692899.6571135274,0.0432,1.2537,0.97,89126.6818139545,4.5
0.6600000000000004,48.37747651121352,2692721.7078429013,0.0432,1.2537,0.97,89120.79224135933,4.5
0.6700000000000004,48.35016627842235,2692543.436527158,0.0432,1.2537,0.97,89114.89201006299,4.5
0.6800000000000004,48.32285785705774,2692364.8563738633,0.0432,1.2537,0.97,89108.98155719522,4.5
0.6900000000000004,48.2955512501262,2692185.9797948874,0.0432,1.2537,0.97,89103.0612935507,4.5
0.7000000000000004,48.26824646051596,2692006.8184532574,0.0432,1.2537,0.97,89097.13160513969,4.5
0.7100000000000004,48.240943491004074,2691827.3833089345,0.0432,1.2537,0.97,89091.19285470311,4.5
0.7200000000000004,48.213642344263135,2691647.684660066,0.0432,1.2537,0.97,89085.24538307796,4.5
0.7300000000000004,48.1863430228676,2691467.7321832706,0.0432,1.2537,0.97,89079.28951053045,4.5
0.7400000000000004,48.15904552929969,2691287.534970381,0.0432,1.2537,0.97,89073.32553797227,4.5
0.7500000000000004,48.13174986595502,2691107.1015637857,0.0432,1.2537,0.97,89067.35374813013,4.5
0.7600000000000005,48.10445603514776,2690926.4399895165,0.0432,1.2537,0.97,89061.37440664099,4.5
0.7700000000000005,48.077164039115615,2690745.557788025,0.0432,1.2537,0.97,89055.38776307054,4.5
0.7800000000000005,48.04987388002443,2690564.4620432793,0.0432,1.2537,0.97,89049.39405187628,4.5
0.7900000000000005,48.02258555997257,2690383.1594104413,0.0432,1.2537,0.97,89043.39349332362,4.5
0.8000000000000005,47.99529908099495,2690201.6561414846,0.0432,1.2537,0.97,89037.38629433357,4.5
0.8100000000000005,47.96801444506695,2690019.9581093155,0.0432,1.2537,0.97,89031.37264928127,4.5
0.8200000000000005,47.94073165410797,2689838.070830887,0.0432,1.2537,0.97,89025.35274076085,4.5
0.8300000000000005,47.91345070998487,2689655.9994884203,0.0432,1.2537,0.97,89019.32674028786,4.5
0.8400000000000005,47.88617161451511,2689473.7489496353,0.0432,1.2537,0.97,89013.29480896884,4.5
0.8500000000000005,47.8588943694698,2689291.3237867365,0.0432,1.2537,0.97,89007.25709812967,4.5
0.8600000000000005,47.83161897657648,2689108.728293937,0.0432,1.2537,0.97,89001.21374989559,4.5
0.8700000000000006,47.804345437521775,2688925.966504817,0.0432,1.2537,0.97,88995.16489776564,4.5
0.8800000000000006,47.7770737539539,2688743.0422073044,0.0432,1.2537,0.97,88989.1106671086,4.5
0.8900000000000006,47.749803927484976,2688559.9589591464,0.0432,1.2537,0.97,88983.05117567492,4.5
0.9000000000000006,47.722535959693246,2688376.72010165,0.0432,1.2537,0.97,88976.98653405157,4.5
0.9100000000000006,47.69526985212512,2688193.3287723158,0.0432,1.2537,0.97,88970.91684608014,4.5
0.9200000000000006,47.66800560629713,2688009.787917807,0.0432,1.2537,0.97,88964.84220928616,4.5
0.9300000000000006,47.64074322369771,2687826.1003052024,0.0432,1.2537,0.97,88958.76271525133,4.5
0.9400000000000006,47.61348270578899,2687642.2685328014,0.0432,1.2537,0.97,88952.67844997141,4.5
0.9500000000000006,47.58622405400831,2687458.29504046,0.0432,1.2537,0.97,88946.58949419811,4.5
0.9600000000000006,47.5589672697698,2687274.182119016,0.0432,1.2537,0.97,88940.49592375109,4.5
0.9700000000000006,47.53171235446577,2687089.9319196776,0.0432,1.2537,0.97,88934.39780982872,4.5
0.9800000000000006,47.50445930946801,2686905.546462049,0.0432,1.2537,0.97,88928.29521927367,4.5
0.9900000000000007,47.47720813612913,2686721.027642556,0.0432,1.2537,0.97,88922.1882148518,4.5
1.0000000000000007,47.44995883578363,2686536.377241646,0.0432,1.2537,0.97,88916.07685549044,4.5
1.0100000000000007,47.42271140974911,2686351.59693072,0.0432,1.2537,0.97,88909.9611965078,4.5
1.0200000000000007,47.3954658593272,2686166.688279017,0.0432,1.2537,0.97,88903.84128984084,4.5
1.0300000000000007,47.36822218580463,2685981.652759974,0.0432,1.2537,0.97,88897.71718425583,4.5
1.0400000000000007,47.340980390454064,2685796.4917565812,0.0432,1.2537,0.97,88891.58892552544,4.5
1.0500000000000007,47.313740474535024,2685611.2065672213,0.0432,1.2537,0.97,88885.45655662217,4.5
1.0600000000000007,47.28650243929465,2685425.798410643,0.0432,1.2537,0.97,88879.32011788283,4.5
1.0700000000000007,47.259266285968515,2685240.268430897,0.0432,1.2537,0.97,88873.17964717199,4.5
1.0800000000000007,47.23203201578124,2685054.6177021414,0.0432,1.2537,0.97,88867.03518004094,4.5
1.0900000000000007,47.204799629947274,2684868.847232255,0.0432,1.2537,0.97,88860.8867498474,4.5
1.1000000000000008,47.17756912967145,2684682.9579676325,0.0432,1.2537,0.97,88854.73438791408,4.5
1.1100000000000008,47.15034051614958,2684496.9507964132,0.0432,1.2537,0.97,88848.5781236357,4.5
1.1200000000000008,47.123113790569036,2684310.8265523277,0.0432,1.2537,0.97,88842.41798460615,4.5
1.1300000000000008,47.095888954109256,2684124.5860176594,0.0432,1.2537,0.97,88836.25399671658,4.5
1.1400000000000008,47.06866600794221,2683938.2299269657,0.0432,1.2537,0.97,88830.08618427861,4.5
1.1500000000000008,47.0414449532329,2683751.7589693237,0.0432,1.2537,0.97,88823.91457009855,4.5
1.1600000000000008,47.01422579113974,2683565.173791888,0.0432,1.2537,0.97,88817.73917559526,4.5
1.1700000000000008,46.98700852281502,2683378.4750015326,0.0432,1.2537,0.97,88811.56002085433,4.5
1.1800000000000008,46.959793149405215,2683191.663168214,0.0432,1.2537,0.97,88805.37712473962,4.5
1.1900000000000008,46.93257967205141,2683004.73882663,0.0432,1.2537,0.97,88799.19050494797,4.5
1.2000000000000008,46.90536809188958,2682817.702478619,0.0432,1.2537,0.97,88793.00017808867,4.5
1.2100000000000009,46.878158410050915,2682630.5545950714,0.0432,1.2537,0.97,88786.80615974675,4.5
1.2200000000000009,46.85095062766216,2682443.2956180633,0.0432,1.2537,0.97,88780.60846455357,4.5
1.2300000000000009,46.8237447458458,2682255.9259623485,0.0432,1.2537,0.97,88774.4071062362,4.5
1.2400000000000009,46.79654076572041,2682068.4460170954,0.0432,1.2537,0.97,88768.20209767492,4.5
1.2500000000000009,46.76933868840085,2681880.8561476227,0.0432,1.2537,0.97,88761.99345096064,4.5
1.260000000000001,46.74213851499851,2681693.156696585,0.0432,1.2537,0.97,88755.78117743418,4.5
1.270000000000001,46.714940246621495,2681505.3479857054,0.0432,1.2537,0.97,88749.5652877436,4.5
1.280000000000001,46.68774388437488,2681317.4303168156,0.0432,1.2537,0.97,88743.34579187856,4.5
1.290000000000001,46.660549429360856,2681129.403973138,0.0432,1.2537,0.97,88737.12269921288,4.5
1.300000000000001,46.633356882678896,2680941.2692203503,0.0432,1.2537,0.97,88730.89601853967,4.5
1.310000000000001,46.60616624542598,2680753.0263079638,0.0432,1.2537,0.97,88724.66575811697,4.5
1.320000000000001,46.57897751869669,2680564.675469868,0.0432,1.2537,0.97,88718.43192568581,4.5
1.330000000000001,46.551790703583386,2680376.2169258078,0.0432,1.2537,0.97,88712.19452851909,4.5
1.340000000000001,46.52460580117635,2680187.6508816415,0.0432,1.2537,0.97,88705.95357343004,4.5
1.350000000000001,46.49742281256388,2679998.977530945,0.0432,1.2537,0.97,88699.70906682548,4.5
1.360000000000001,46.47024173883246,2679810.197055122,0.0432,1.2537,0.97,88693.46101470926,4.5
1.370000000000001,46.44306258106682,2679621.3096241932,0.0432,1.2537,0.97,88687.20942270859,4.5
1.380000000000001,46.41588534035009,2679432.3153982223,0.0432,1.2537,0.97,88680.95429612105,4.5
1.390000000000001,46.38871001776386,2679243.214526882,0.0432,1.2537,0.97,88674.69563990035,4.5
1.400000000000001,46.36153661438833,2679054.007151032,0.0432,1.2537,0.97,88668.43345870853,4.5
1.410000000000001,46.33436513130232,2678864.6934024612,0.0432,1.2537,0.97,88662.1677569074,4.5
1.420000000000001,46.30719556958343,2678675.2734050704,0.0432,1.2537,0.97,88655.89853859766,4.5
1.430000000000001,46.28002793030804,2678485.747275286,0.0432,1.2537,0.97,88649.62580763269,4.5
1.440000000000001,46.252862214551456,2678296.115121835,0.0432,1.2537,0.97,88643.34956761102,4.5
1.450000000000001,46.22569842338794,2678106.377047362,0.0432,1.2537,0.97,88637.06982192986,4.5
1.460000000000001,46.198536557890776,2677916.5331476205,0.0432,1.2537,0.97,88630.78657375836,4.5
1.470000000000001,46.17137661913234,2677726.583512839,0.0432,1.2537,0.97,88624.49982608281,4.5
1.480000000000001,46.14421860818413,2677536.52822765,0.0432,1.2537,0.97,88618.2095817043,4.5
1.490000000000001,46.117062526116875,2677346.3673712295,0.0432,1.2537,0.97,88611.91584324326,4.5
1.500000000000001,46.089908374000515,2677156.101018194,0.0432,1.2537,0.97,88605.61861316932,4.5
1.5100000000000011,46.062756152904306,2676965.729238226,0.0432,1.2537,0.97,88599.31789378873,4.5
1.5200000000000011,46.03560586389682,2676775.2520969333,0.0432,1.2537,0.97,88593.0136872729,4.5
1.5300000000000011,46.00845750804602,2676584.6696558604,0.0432,1.2537,0.97,88586.70599565879,4.5
1.5400000000000011,45.98131108641928,2676393.981972633,0.0432,1.2537,0.97,88580.3948208536,4.5
1.5500000000000012,45.95416660008342,2676203.189101565,0.0432,1.2537,0.97,88574.080164655,4.5
1.5600000000000012,45.92702405010474,2676012.2910932815,0.0432,1.2537,0.97,88567.76202873846,4.5
1.5700000000000012,45.89988343754908,2675821.287995525,0.0432,1.2537,0.97,88561.44041468418,4.5
1.5800000000000012,45.8727447634818,2675630.1798530165,0.0432,1.2537,0.97,88555.11532397223,4.5
1.5900000000000012,45.845608028967845,2675438.9667076804,0.0432,1.2537,0.97,88548.7867579902,4.5
1.6000000000000012,45.81847323507177,2675247.6485989466,0.0432,1.2537,0.97,88542.45471804311,4.5
1.6100000000000012,45.79134038285775,2675056.225563672,0.0432,1.2537,0.97,88536.11920535078,4.5
1.6200000000000012,45.76420947338958,2674864.6976366495,0.0432,1.2537,0.97,88529.78022106478,4.5
1.6300000000000012,45.737080507730774,2674673.0648500817,0.0432,1.2537,0.97,88523.4377662509,4.5
1.6400000000000012,45.7099534869445,2674481.3272347045,0.0432,1.2537,0.97,88517.09184192642,4.5
1.6500000000000012,45.68282841209366,2674289.484819038,0.0432,1.2537,0.97,88510.74244903523,4.5
1.6600000000000013,45.65570528424088,2674097.5376297487,0.0432,1.2537,0.97,88504.38958845996,4.5
1.6700000000000013,45.628584104448514,2673905.4856920796,0.0432,1.2537,0.97,88498.03326103603,4.5
1.6800000000000013,45.601464873778696,2673713.329029559,0.0432,1.2537,0.97,88491.67346754219,4.5
