,time,x,y,z,v_x,v_y,v_z
0,4.795576759419241e-10,0.0,0.0,0.0,3.611452811852655e-27,-5.557598699381655e-22,1.589252206165999e-08
1,5.2751344353611654e-09,2.1382117680737565e-50,4.235164736271502e-22,1.6291360510631347e-34,3.972598093038067e-26,-6.724694426251804e-20,1.7481774267825993e-07
2,5.3230902029553586e-08,0.0,0.0,0.0,4.0087126211564614e-25,-6.847517357508139e-18,1.7640699488442594e-06
3,5.327885779714777e-07,3.503246160812043e-46,5.421010862427522e-20,2.1061470868144204e-30,4.01232407396796e-24,-6.859860784219465e-16,1.7656592010504253e-05
4,5.32836533739072e-06,-1.0339757656912846e-25,4.336808689942018e-19,1.6850693272077924e-28,4.0126852192492227e-23,-6.861095738226238e-14,0.0001765818126270986
5,5.3284132931583133e-05,-1.0339757656912846e-25,-1.7399567580507866e-16,4.6566128730773926e-08,4.0127213337777703e-22,-6.861219239720352e-12,0.0017658340187879152
6,0.0005328418088735073,-5.212788822732611e-22,-1.827525112466585e-13,4.704110324382779e-06,-1.9564586242343003e-18,-6.857820982807851e-10,0.017658356075270925
7,0.004177917301037689,-1.5989711433379732e-20,-8.808558641642092e-11,0.0002892287448048457,-7.654389371041222e-18,-4.2160204636928086e-08,0.13845600854977652
8,0.007961615782747102,-5.806626954363258e-20,-6.095797075504434e-10,0.001050326041877093,-1.458652719210244e-17,-1.531036683406305e-07,0.263847609014503
9,0.009759069398117423,-1.7484747332750418e-19,-1.1226700727058496e-09,0.0015781149268146338,-3.5832799326663044e-17,-2.3003819890634504e-07,0.3234151348632923
10,0.010005921416469369,-9.17139606095466e-20,-1.2100362342971692e-09,0.0016589602455492373,-1.8331914420177245e-17,-2.41822882300117e-07,0.3315958433953701
11,0.010252773434821314,-9.629519703459498e-20,-1.3018221357339192e-09,0.0017418265342707536,-1.878539571194159e-17,-2.539183405139939e-07,0.33979852474452504
12,0.012721293618340769,-1.483746951960867e-19,-2.4888349514912767e-09,0.0026838574558484935,-2.3448508956234213e-17,-3.932507451200688e-07,0.4241365914492045
13,0.01959486366582323,-3.57363169427315e-19,-9.232782104123432e-09,0.0064637223258548595,-3.766229481471675e-17,-9.727666857475646e-07,0.681121882177826
14,0.021171908516046646,-4.195097658363066e-19,-1.1710459952808126e-08,0.007587618194511436,-4.1154640501570426e-17,-1.1484757921735098e-06,0.744248335476579
15,0.02274895336627006,-4.871723127625317e-19,-1.4611897097968066e-08,0.008811216801392838,-4.465569957668477e-17,-1.3389582228433012e-06,0.8075317552237952
16,0.03851940186850422,-1.4691766307598362e-18,-7.459986793714084e-08,0.026566976681246926,-7.993316877717894e-17,-4.057483173385621e-06,1.4451736074338042
17,0.05275859488001019,-2.8347863197201053e-18,-1.9713157652621235e-07,0.05125577468387126,-1.118797821038762e-16,-7.777956823196146e-06,2.022604360101801
18,0.0663282143350295,-4.5595916933571775e-18,-3.9860384595528763e-07,0.08243671990834667,-1.4233797696903176e-16,-1.244010045650561e-05,2.5731313132071563
19,0.08650948945502573,-7.889423379211089e-18,-8.99501566926204e-07,0.1426308583439835,-1.8765851182786206e-16,-2.1390579662732307e-05,3.3922913376201365
20,0.11298771753047725,-1.364591739818868e-17,-2.0319235932094606e-06,0.24668894427922983,-2.471582119046632e-16,-3.6794748638212776e-05,4.467734757195854
21,0.15481020568005827,-2.5949346046306983e-17,-5.293970755612591e-06,0.4690875196530708,-3.41222932922486e-16,-6.959972146912242e-05,6.167927884038866
22,0.20650563215680762,-4.6597212654409185e-17,-1.268045451371138e-05,0.8423134003742724,-4.576290657314073e-16,-0.0001245111483394663,8.271927496574584
23,0.2683842846637899,-7.923041296942473e-17,-2.8020955380521737e-05,1.4321741384506843,-5.971521596181549e-16,-0.00021115416874327355,10.793746742945725
24,0.3518009415889002,-1.3689793487713432e-16,-6.346295146292563e-05,2.474529032712978,-7.855424874562345e-16,-0.00036409917462869426,14.198801720874348
25,0.48549615227604814,-2.6214180601100495e-16,-0.00016770311295744342,4.738315261726635,-1.0881671063745548e-15,-0.0006960326228644165,19.668539667487295
26,0.6930601244932838,-5.36895914511761e-16,-0.0004903128972764082,9.704438569676292,-1.5595519399080404e-15,-0.0014240129385649349,28.18841260175029
27,0.982076345904473,-1.0828180290858452e-15,-0.0014012226439797755,19.571737066974336,-2.218771121972688e-15,-0.002870753280756913,40.103058343640505
28,0.9825102321356116,-1.0837810707562315e-15,-0.0014030883517782847,19.589141121176908,-2.2204096603818964e-15,-0.002873593591841259,40.120987292434265
29,0.9829065275108729,-1.0846613120038963e-15,-0.0014047939837686023,19.605044128334626,-2.2219401481102868e-15,-0.002876204038844425,40.13736302642009
30,0.9852165779906372,-1.0898044106041811e-15,-0.0014147660686723031,19.697873717590102,-2.230861634919898e-15,-0.002891441833150975,40.23282104284381
31,0.996072063047107,-1.1142490585558439e-15,-0.0014623108731072823,20.13705546407932,-2.2727881588524574e-15,-0.0029635326735222628,40.6814472832601
32,1.0655707645006864,-2.5618555986229023e-15,-0.0017941653780336447,23.06421379937792,-4.9591085283909136e-15,-0.003444022027462807,43.55540870636239
33,1.4334320535624425,-2.478116376807591e-15,-0.004459941192149883,41.89100169219302,-3.965021038196274e-15,-0.006534653461736752,58.81573318767209
34,1.6861602618006852,-3.60408401454526e-15,-0.0073553768991559375,58.08492587541024,-4.945939340997893e-15,-0.009193688015800994,69.34250831709181
35,1.7520651382836163,-3.938489985041197e-15,-0.008276619159982831,62.74555090204835,-5.202242034862248e-15,-0.009959117549019828,72.09273579153486
